seed,delta_base,vacancy_rate,simulated_unrate,distance
3,0.00971070419289934,0.02657673546172698,0.04846666666666666,0.0034666666666666596
29,0.0077525833694737905,0.04544256090000146,0.048979166666666685,0.003979166666666686
53,0.005611984701034644,0.06032374576373907,0.04244999999999999,0.0025500000000000106
65,0.007606531700490908,0.04627555242777108,0.04974999999999996,0.004749999999999963
85,0.007437764516604965,0.04302382968485283,0.04586666666666661,0.0008666666666666129
113,0.008881795845430711,0.020560826492282833,0.04977083333333321,0.00477083333333321
126,0.005339684178276263,0.0759230675190955,0.04107916666666667,0.003920833333333332
127,0.008435661225335527,0.024674295306289465,0.048270833333333485,0.0032708333333334866
142,0.0062259536110483085,0.017524379973060424,0.045579166666666615,0.0005791666666666168
149,0.009511413492026825,0.0282776177622322,0.047687499999999994,0.0026874999999999954
150,0.005265212423113606,0.07515509123922785,0.04377916666666659,0.001220833333333407
162,0.008944479422472593,0.026335468474414973,0.04957916666666673,0.004579166666666731
164,0.009017215370152092,0.03488576328108087,0.04910000000000003,0.004100000000000034
184,0.005977991264050423,0.050855958190029714,0.044141666666666524,0.0008583333333334747
195,0.0068892713681604646,0.0158968753487697,0.04495416666666674,4.5833333333258897e-05
214,0.010197806562088792,0.03948131754206221,0.04956666666666676,0.0045666666666667605
230,0.0054542973713841356,0.046123069106053786,0.042762499999999926,0.0022375000000000728
239,0.005834149398299605,0.0270141943165792,0.04388749999999997,0.0011125000000000301
279,0.007778081674265708,0.06977494321890826,0.049004166666666626,0.004004166666666628
285,0.007297630928371165,0.026888677887978704,0.044487500000000124,0.0005124999999998742
297,0.009100256060642568,0.029278188803882374,0.043825,0.0011749999999999955
306,0.008194986273262206,0.031058950330197038,0.04547500000000004,0.00047500000000004483
337,0.00658057165166227,0.030386160134198113,0.045387500000000025,0.0003875000000000267
383,0.007137895914458167,0.06651501587577312,0.04851666666666665,0.003516666666666654
389,0.005533050115801255,0.0471939979993559,0.044658333333333355,0.0003416666666666429
391,0.005270816109735927,0.07556465479941021,0.04177500000000001,0.0032249999999999918
406,0.009041224688983194,0.015482511319001323,0.04779583333333337,0.0027958333333333724
416,0.005123114200503646,0.044191719128448916,0.044433333333333214,0.0005666666666667847
431,0.008181794521533194,0.06869973889758416,0.047208333333333186,0.0022083333333331873
443,0.008593366489404935,0.040914405264578936,0.04768333333333319,0.0026833333333331905
448,0.006782316445940851,0.01776777333419397,0.04513750000000005,0.00013750000000005425
460,0.0059959270715514296,0.06807694492215594,0.04530000000000012,0.0003000000000001196
475,0.008217546902225589,0.056944658449054275,0.04632500000000006,0.0013250000000000622
476,0.00714171903269274,0.040594881376261105,0.04742499999999994,0.002424999999999941
484,0.008094272568812346,0.07411988209334715,0.04457500000000003,0.00042499999999996707
488,0.005729592297377864,0.01113068235522888,0.041862500000000025,0.0031374999999999736
504,0.00571326936327515,0.011677194746055419,0.04302916666666656,0.0019708333333334355
522,0.00564919215356011,0.05587940764756655,0.04433750000000003,0.0006624999999999687
523,0.005439087440135196,0.07930364093485653,0.04615416666666672,0.00115416666666672
539,0.006008149740312272,0.04050657055068228,0.04216249999999988,0.0028375000000001177
547,0.006902659431011134,0.05281545179396319,0.046779166666666594,0.0017791666666665956
549,0.009040443792801358,0.04870609050951527,0.04928749999999982,0.004287499999999819
580,0.007469484436250614,0.017008629443172774,0.044141666666666635,0.0008583333333333637
592,0.009293612576926666,0.014218737321608974,0.048191666666666744,0.0031916666666667454
614,0.009289719346052872,0.017099831313281223,0.048991666666666656,0.003991666666666657
617,0.005899304364703107,0.026293780626005882,0.044154166666666606,0.0008458333333333928
623,0.007541075946490634,0.07144304793821467,0.04743750000000002,0.002437500000000023
624,0.006691779910997073,0.015755034199387886,0.04305416666666673,0.0019458333333332717
632,0.00940843312882382,0.04875452124791695,0.04790833333333333,0.002908333333333332
633,0.00959405893106081,0.06421262083975757,0.04722083333333327,0.002220833333333269
643,0.006233269569686881,0.01530501205211932,0.04560833333333336,0.0006083333333333635
659,0.005622169308828935,0.01121846682002262,0.04458333333333331,0.00041666666666669017
662,0.007580990699607371,0.01613446676144684,0.04435833333333328,0.0006416666666667209
